ABSTIMMUNG_NAME;ABGEORDNETE_GES;DICT_KEYS
aufnahme-von-eu-beitrittsverhandlungen-mit-albanien;709;707
verlaengerung-des-bundeswehreinsatzes-im-kosovo-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-im-libanon-2019-2020;473;473
fortsetzung-des-bundeswehreinsatzes-darfur;709;709
verlaengerung-des-bundeswehreinsatzes-suedsudan-unmiss;709;709
woelfe-unkontrollierte-population-stoppen;709;709
kostenloser-zugang-zu-verhuetungsmitteln-fuer-menschen-mit-geringem;709;709
abschaffung-des-solidaritaetszuschlags;709;709
verlaengerung-der-ferkelkastration-ohne-betaeubung;709;709
zwei-prozent-ruestungsziel-der-nato-antrag-der-fraktion-die-linke;651;651
bundeshaushalt-2018;709;709
verlaengerung-des-bundeswehreinsatzes-im-kosovo-kfor;709;709
antrag-auf-inhaltliche-distanzierung-des-bundestages-von-deniz-yuecel;709;709
gesetzesentwurf-der-afd-zum-familiennachzug;709;709
verlaengerung-des-bundeswehreinsatzes-afghanistan-2017;709;709
aufnahme-von-eu-beitrittsverhandlungen-mit-albanien;709;709
